name,predicate,strategy,bugs,initial-scc,scc,initial-classes,classes,initial-bytes,bytes,initial-lines,lines,iters,searches,setup-time,time,status,verify,flaky
url2f9ac51a6b_zhaodj_code,fernflower,items+logic,1,1554,17,144,2,175324,1454,4143,36,12,0,121.425302723,232.82369813300002,success,success,False
url2f9ac51a6b_zhaodj_code,fernflower,jreduce,1,0,1,144,3,199174,7968,0,0,10,1,0.0,187.722255283,success,success,False
url2f9ac51a6b_zhaodj_code,procyon,classes,7,108,5,144,17,175324,21318,4308,456,40,5,14.020088941,455.141904871,success,success,False
url2f9ac51a6b_zhaodj_code,procyon,items+graph+first,7,1164,5,144,14,175324,11476,4308,226,59,5,83.042718042,847.168825076,success,success,False
url2f9ac51a6b_zhaodj_code,procyon,items+graph+last,7,1164,5,144,14,175324,11476,4308,226,59,5,84.624214403,832.7929477109999,success,success,False
url2f9ac51a6b_zhaodj_code,procyon,items+logic,7,1554,92,144,14,175324,11476,4308,226,53,0,80.700305533,731.7171241799999,success,success,False
url2f9ac51a6b_zhaodj_code,procyon,jreduce,7,0,5,144,17,199174,24072,0,0,40,5,0.0,505.502862844,success,success,False
url35734dba6f_yarl_vicuna,cfr,classes,8,14,1,193,187,437076,425172,10199,9986,6,1,13.978395986,72.320663314,success,success,False
url35734dba6f_yarl_vicuna,cfr,items+graph+first,8,2099,2,193,7,437076,8020,10199,247,25,2,30.085009169,290.640094148,success,success,False
url35734dba6f_yarl_vicuna,cfr,items+graph+last,8,2099,2,193,7,437076,8055,10199,247,25,2,25.502763889,259.96992409699993,success,success,False
url35734dba6f_yarl_vicuna,cfr,items+logic,8,4047,71,193,7,437076,8055,10199,247,25,0,25.783443707,373.450221446,success,success,False
url35734dba6f_yarl_vicuna,cfr,jreduce,8,0,1,193,187,491688,478480,0,0,7,1,0.0,66.076028947,success,success,False
url35734dba6f_yarl_vicuna,fernflower,classes,4,14,1,193,187,437076,425172,10044,9850,6,1,21.881787623,114.25165320200001,success,success,False
url35734dba6f_yarl_vicuna,fernflower,items+graph+first,4,2099,2,193,8,437076,8489,10044,191,25,2,36.501618383,380.901623213,success,success,False
url35734dba6f_yarl_vicuna,fernflower,items+graph+last,4,2099,2,193,8,437076,8489,10044,191,25,2,34.933761947,373.696121269,success,success,False
url35734dba6f_yarl_vicuna,fernflower,items+logic,4,4047,76,193,8,437076,8489,10044,191,26,0,33.05664323,522.7484620380001,success,success,False
url35734dba6f_yarl_vicuna,fernflower,jreduce,4,0,1,193,187,491688,478480,0,0,7,1,0.0,99.20330837499999,success,success,False
url35734dba6f_yarl_vicuna,procyon,classes,44,14,1,193,187,437076,425172,10469,10257,6,1,32.045907603,151.685529997,success,success,False
url35734dba6f_yarl_vicuna,procyon,items+graph+first,44,2099,21,193,8,437076,29641,10469,978,244,21,39.930212101,3328.61266984,success,success,False
url35734dba6f_yarl_vicuna,procyon,items+graph+last,44,2099,21,193,8,437076,29641,10469,978,246,21,32.756694561,2991.2022139100004,success,success,False
url35734dba6f_yarl_vicuna,procyon,items+logic,44,4047,158,193,8,437076,29641,10469,978,203,0,42.633377784,2529.3252000459997,success,success,False
url35734dba6f_yarl_vicuna,procyon,jreduce,44,0,1,193,187,491688,478480,0,0,7,1,0.0,142.788251924,success,success,False
url365a40ba81_Poming_MyJavaAdventure,cfr,classes,1,103,1,124,15,95033,9659,2545,323,9,1,5.565963636,57.649409562,success,success,False
url365a40ba81_Poming_MyJavaAdventure,cfr,items+graph+first,1,948,1,124,8,95033,4046,2545,152,12,1,13.70022958,79.269869239,success,success,False
url365a40ba81_Poming_MyJavaAdventure,cfr,items+graph+last,1,938,1,124,9,95033,3975,2545,140,12,1,12.420623603,70.240379394,success,success,False
url365a40ba81_Poming_MyJavaAdventure,cfr,items+logic,1,1198,43,124,8,95033,3671,2545,125,12,0,13.443921135,65.045380997,success,success,False
url365a40ba81_Poming_MyJavaAdventure,cfr,jreduce,1,0,1,124,15,109505,11444,0,0,10,1,0.0,55.306325906,success,success,False
url365a40ba81_Poming_MyJavaAdventure,procyon,classes,18,103,3,124,38,95033,27965,2380,761,24,3,10.954496414,250.321040976,success,success,False
url365a40ba81_Poming_MyJavaAdventure,procyon,items+graph+first,18,948,4,124,22,95033,12049,2380,353,44,4,16.401056129,434.79238787400004,success,success,False
url365a40ba81_Poming_MyJavaAdventure,procyon,items+graph+last,18,938,4,124,24,95033,12044,2380,346,45,4,16.986833867,400.712156383,success,success,False
url365a40ba81_Poming_MyJavaAdventure,procyon,items+logic,18,1198,113,124,22,95033,11506,2380,317,39,0,20.320565437,376.27129355100004,success,success,False
url365a40ba81_Poming_MyJavaAdventure,procyon,jreduce,18,0,3,124,38,109505,32382,0,0,26,3,0.0,243.69607534099998,success,success,False
url39d09048de_s_webber_projog,cfr,classes,12,224,1,416,158,801203,321301,20517,8654,10,1,16.438314521,189.063068216,success,success,False
url39d09048de_s_webber_projog,cfr,items+graph+first,12,6094,2,416,30,801203,22153,20517,631,28,2,34.086976777,451.753458733,success,success,False
url39d09048de_s_webber_projog,cfr,items+graph+last,12,5966,2,416,23,801203,15069,20517,483,29,2,35.012366152,515.9628986750001,success,success,False
url39d09048de_s_webber_projog,cfr,items+logic,12,7748,112,416,17,801203,12962,20517,390,29,0,36.810299722,500.488326454,success,success,False
url39d09048de_s_webber_projog,cfr,jreduce,12,0,1,416,158,897605,359948,0,0,11,1,0.0,135.846856636,success,success,False
url39d09048de_s_webber_projog,fernflower,classes,6,224,2,416,153,801203,305253,19551,7863,17,2,24.599967266,320.554201254,success,success,False
url39d09048de_s_webber_projog,fernflower,items+graph+first,6,6094,8,416,40,801203,21606,19822,474,108,8,47.043541444,1985.107742055,success,0030,False
url39d09048de_s_webber_projog,fernflower,items+graph+last,6,5966,12,416,46,801203,18562,19822,446,160,12,44.52098973,2774.557104424,success,0005,False
url39d09048de_s_webber_projog,fernflower,items+logic,6,7748,59,416,19,801203,6443,19822,153,94,0,47.339727084,2018.75515437,success,0018,False
url39d09048de_s_webber_projog,fernflower,jreduce,6,0,2,416,153,897605,342559,0,0,19,2,0.0,302.55928534199995,success,success,False
url39d09048de_s_webber_projog,procyon,classes,31,224,13,416,204,801203,431627,19621,10687,112,13,32.49031494,2922.960713451,success,success,False
url39d09048de_s_webber_projog,procyon,items+graph+first,31,6094,30,416,88,801203,69632,19621,1637,399,30,44.215510183,7961.738888299,success,0090,False
url39d09048de_s_webber_projog,procyon,items+graph+last,31,5966,33,416,79,801203,60214,19621,1465,437,33,53.070050999,9486.780800911001,success,0062,False
url39d09048de_s_webber_projog,procyon,items+logic,31,7748,371,416,59,801203,47050,19621,1061,393,0,51.176026832,8892.96692665,success,0033,False
